 , , , , , ,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->,<!-- rich cell -->, 
4.9,,"Sixth Supplemental Indenture for 1.000% Notes due 2018, 2.375% Notes due 2023, and 3.750% Notes due 2043, dated as of May 2, 2013, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee",,,,,,8-K,,,,,,,,,,4.2,,,,5/1/2013,
 ,,,,,,,,,,,,,,,,,,,,,,,
4.10,,"Seventh Supplemental Indenture for 2.125% Notes due 2021 and 3.125% Notes due 2028, dated as of December 6, 2013, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee",,,,,,8-K,,,,,,,,,,4.1,,,,12/6/2013,
 ,,,,,,,,,,,,,,,,,,,,,,,
4.11,,"Eighth Supplemental Indenture for 1.625% Notes due 2018, 3.625% Notes due 2023, and 4.875% Notes due 2043, dated as of December 6, 2013, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee",,,,,,8-K,,,,,,,,,,4.2,,,,12/6/2013,
 ,,,,,,,,,,,,,,,,,,,,,,,
4.12,,"Ninth Supplemental Indenture for 1.850% Notes due 2020, 2.375% Notes due 2022, 2.700% Notes due 2025, 3.500% Notes due 2035, 3.750% Notes due 2045, and 4.000% Notes due 2055, dated as of February 12, 2015, between Microsoft Corporation and U.S. Bank National Association, as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as trustee",,,,,,8-K,,,,,,,,,,4.1,,,,2/12/2015,
 ,,,,,,,,,,,,,,,,,,,,,,,
4.13,,"Tenth Supplemental Indenture for 1.300% Notes due 2018, 2.000% Notes due 2020, 2.650% Notes due 2022, 3.125% Notes due 2025, 4.200% Notes due 2035, 4.450% Notes due 2045, and 4.750% Notes due 2055, dated as of November 3, 2015, between Microsoft Corporation and U.S. Bank National Association, as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as trustee",,,,,,8-K,,,,,,,,,,4.1,,,,11/3/2015,
 ,,,,,,,,,,,,,,,,,,,,,,,
4.14,,"Eleventh Supplemental Indenture for 1.100% Notes due 2019, 1.550% Notes due 2021, 2.000% Notes due 2023, 2.400% Notes due 2026, 3.450% Notes due 2036, 3.700% Notes due 2046, and 3.950% Notes due 2056, dated as of August 8, 2016, between Microsoft Corporation and U.S. Bank, National Association, as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as trustee",,,,,,8-K,,,,,,,,,,4.1,,,,8/5/2016,
 ,,,,,,,,,,,,,,,,,,,,,,,
4.15,,"Twelfth Supplemental Indenture for 1.850% Notes due 2020, 2.400% Notes due 2022, 2.875% Notes due 2024, 3.300% Notes due 2027, 4.100% Notes due 2037, 4.250% Notes due 2047, and 4.500% Notes due 2057, dated as of February 6, 2017, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as trustee",,,,,,8-K,,,,,,,,,,4.1,,,,2/3/2017,
 ,,,,,,,,,,,,,,,,,,,,,,,
4.16,,"Thirteenth Supplemental Indenture for 2.525% Notes due 2050 and 2.675% Notes due 2060, dated as of June 1, 2020, between Microsoft Corporation and U.S. Bank National Association, as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as trustee",,,,,,8-K, , , ,,,, , , ,4.1, , , ,6/1/2020,
4.17,,"Fourteenth Supplemental Indenture for 2.921% Notes due 2052 and 3.041% Notes due 2062, dated as of March 17, 2021, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as Trustee, to the Indenture, dated as of May 18, 2009, between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as trustee",,,,,,8-K,,,,,,,,,,4.1,,,,3/17/2021,
 ,,,,,,,,,,,,,,,,,,,,,,,
4.18,,Description of Securities,,,,,,10-K, , , ,6/30/2019,6/30/2019,6/30/2019, , , ,4.16, , , ,8/1/2019,
 ,,,,,,,,,,,,,,,,,,,,,,,
10.1*, ,Microsoft Corporation 2001 Stock Plan, ,,, , ,10-Q, , , ,9/30/2016,9/30/2016,9/30/2016, , , ,10.1, , , ,10/20/2016, 
 ,,,,,,,,,,,,,,,,,,,,,,,
10.4*, ,Microsoft Corporation Employee Stock Purchase Plan, , , , , ,10-K, , , ,6/30/2012,6/30/2012,6/30/2012, , , ,10.4, , , ,7/26/2012, 
,,,,,,,,,,,,,,,,,,,,,,,
10.5*,,Microsoft Corporation Deferred Compensation Plan,,,,,,10-K,,,,6/30/2018,6/30/2018,6/30/2018,,,,10.5,,,,8/3/2018,
 ,,,,,,,,,,,,,,,,,,,,,,,
10.6*, ,Microsoft Corporation 2017 Stock Plan, , , , , ,DEF14A, , , ,,,, , , ,Annex C, , , ,10/16/2017, 
 ,,,,,,,,,,,,,,,,,,,,,,,
10.7*, ,Form of Stock Award Agreement Under the Microsoft Corporation 2017 Stock Plan, , , , , ,10-Q, , , ,3/31/2018,3/31/2018,3/31/2018, , , ,10.26, , , ,4/26/2018, 
 ,,,,,,,,,,,,,,,,,,,,,,,
10.8*, ,Form of Performance Stock Award Agreement Under the Microsoft Corporation 2017 Stock Plan, , , , , ,10-Q, , , ,3/31/2018,3/31/2018,3/31/2018, , , ,10.27, , , ,4/26/2018, 
,,,,,,,,,,,,,,,,,,,,,,,
10.9, ,"Amended and Restated Officers’ Indemnification Trust Agreement between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as trustee", , , , , ,10-Q, , , ,9/30/2016,9/30/2016,9/30/2016, , , ,10.12, , , ,10/20/2016, 
 ,,,,,,,,,,,,,,,,,,,,,,,
10.10, ,Assumption of Beneficiaries’ Representative Obligations Under Amended and Restated Officers’ Indemnification Trust Agreement, , , , , ,10-K,,,,6/30/2020,6/30/2020,6/30/2020,,,,10.25,,,,7/30/2020, 
 ,,,,,,,,,,,,,,,,,,,,,,,
10.11, ,"Form of Indemnification Agreement and Amended and Restated Directors’ Indemnification Trust Agreement between Microsoft Corporation and The Bank of New York Mellon Trust Company, N.A., as trustee", ,,, , ,10-K, , , ,6/30/2019,6/30/2019,6/30/2019, , , ,10.13, , , ,8/1/2019, 
 ,,,,,,,,,,,,,,,,,,,,,,,
10.12, ,Assumption of Beneficiaries’ Representative Obligations Under Amended and Restated Directors’ Indemnification Trust Agreement,,,,,,10-K,,,,6/30/2020,6/30/2020,6/30/2020,,,,10.26,,,,7/30/2020, 
 ,,,,,,,,,,,,,,,,,,,,,,,
10.14*, ,Microsoft Corporation Deferred Compensation Plan for Non-Employee Directors, ,<!-- rich cell -->,<!-- rich cell -->, , ,10-Q, , , , 12/31/2017, 12/31/2017, 12/31/2017, , , ,10.14, , , ,1/31/2018,
 ,,,,,,,,,,,,,,,,,,,,,,,
10.15*,,Microsoft Corporation Executive Incentive Plan,Microsoft Corporation Executive Incentive Plan, , , , ,8-K, ,, ,,,, ,, ,10.1, ,, ,9/19/2018, 
 ,,,,,,,,,,,,,,,,,,,,,,,
10.19*,,Microsoft Corporation Executive Incentive Plan,Microsoft Corporation Executive Incentive Plan,,,,,10-Q,,,,9/30/2016,9/30/2016,9/30/2016,,,,10.17,,,,10/20/2016,
 ,,,,,,,,,,,,,,,,,,,,,,,
10.20*,,Form of Executive Incentive Plan (Executive Officer SAs) Stock Award Agreement under the Microsoft Corporation 2001 Stock Plan,Form of Executive Incentive Plan (Executive Officer SAs) Stock Award Agreement under the Microsoft Corporation 2001 Stock Plan,,,,,10-Q,,,,9/30/2016,9/30/2016,9/30/2016,,,,10.18,,,,10/20/2016,
 ,,,,,,,,,,,,,,,,,,,,,,,
10.21*,,Form of Executive Incentive Plan Performance Stock Award Agreement under the Microsoft Corporation 2001 Stock Plan,Form of Executive Incentive Plan Performance Stock Award Agreement under the Microsoft Corporation 2001 Stock Plan,,,,,10-Q,,,,9/30/2016,9/30/2016,9/30/2016,,,,10.25,,,,10/20/2016,
 ,,,,,,,,,,,,,,,,,,,,,,,
10.22*,,Senior Executive Severance Benefit Plan ,Senior Executive Severance Benefit Plan ,,,,,10-Q,,,,9/30/2016,9/30/2016,9/30/2016,,,,10.22,,,,10/20/2016,
 ,,,,,,,,,,,,,,,,,,,,,,,
10.23*,,"Offer Letter, dated February 3, 2014, between Microsoft Corporation and Satya Nadella","Offer Letter, dated February 3, 2014, between Microsoft Corporation and Satya Nadella",,,,,8-K,,,,,,,,,,10.1,,,,2/4/2014,
 ,,,,,,,,,,,,,,,,,,,,,,,
10.24*,,Long-Term Performance Stock Award Agreement between Microsoft Corporation and Satya Nadella,Long-Term Performance Stock Award Agreement between Microsoft Corporation and Satya Nadella,,,,,10-Q,,,,12/31/2014,12/31/2014,12/31/2014,,,,10.24,,,,1/26/2015,
10.25*,,"Offer Letter, dated October 25, 2020, between Microsoft Corporation and Christopher Young","Offer Letter, dated October 25, 2020, between Microsoft Corporation and Christopher Young",,,,,10-Q,,,,9/30/2021,9/30/2021,9/30/2021,,,,10.27,,,,10/26/2021,
 ,,,,,,,,,,,,,,,,,,,,,,,
21, ,Subsidiaries of Registrant, ,X,X,, , , , , , , , , , , , , , , , , 
 ,,,,,,,,,,,,,,,,,,,,,,,
23.1, ,Consent of Independent Registered Public Accounting Firm, ,X,X,, , , , , , , , , , , , , , , , , 
 ,,,,,,,,,,,,,,,,,,,,,,,
31.1, ,Certification of Chief Executive Officer Pursuant to Section 302 of the Sarbanes-Oxley Act of 2002, ,X,X,, , , , , , , , , , , , , , , , , 
 ,,,,,,,,,,,,,,,,,,,,,,,
31.2, ,Certification of Chief Financial Officer Pursuant to Section 302 of the Sarbanes-Oxley Act of 2002, ,X,X,, , , , , , , , , , , , ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
32.1**,,Certification of Chief Executive Officer Pursuant to Section 906 of the Sarbanes-Oxley Act of 2002,,X,X,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
32.2**,,Certification of Chief Financial Officer Pursuant to Section 906 of the Sarbanes-Oxley Act of 2002,,X,X,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
101.INS, ,Inline XBRL Instance Document—the instance document does not appear in the Interactive Data File as its XBRL tags are embedded within the Inline XBRL document, ,X,X,, , , , , , , , , , , , ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
101.SCH,,Inline XBRL Taxonomy Extension Schema,,X,X,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
101.CAL,,Inline XBRL Taxonomy Extension Calculation Linkbase,,X,X,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
101.DEF, ,Inline XBRL Taxonomy Extension Definition Linkbase, ,X,X,, , , , , , , , , , , , ,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
101.LAB,,Inline XBRL Taxonomy Extension Label Linkbase,,X,X,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
101.PRE,,Inline XBRL Taxonomy Extension Presentation Linkbase,,X,X,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
104,,Cover page formatted as Inline XBRL and contained in Exhibit 101,,X,X,,,,,,,,,,,,,,,,,,
